index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,9343761,7173958,5033479,12705922272,292.106,293.364,292.45
BTree,1753726,1755806,1751898,2125000432,1.5731,1.58987,1.5962,LinearSearch,6
BTree,1211069,1212183,1211990,1856251088,1.63185,1.63295,1.63904,LinearSearch,8
BTree,1578176,1581581,1579170,2125000432,1.34421,1.34077,1.341,InterpolationSearch,6
DynamicPGM,5099673,5111346,5087780,1721297388,1.93813,1.90629,1.85385,LinearSearch,16
DynamicPGM,4471425,4480495,4468213,1702563708,1.76915,1.78734,1.79151,BinarySearch,128
DynamicPGM,5069839,5059481,5058414,1721297388,1.99232,1.97406,1.98097,BinarySearch,16
