index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,9578203,7292999,4995607,12679095104,2.22971,298.242,2.19086,298.505,2.19082,303.172
BTree,953551,950222,949036,2441636976,0.610649,1.06784,0.618765,1.07159,0.617172,1.07733,InterpolationSearch,10
BTree,820668,818399,819372,3079164936,0.604025,1.12454,0.604443,1.11864,0.603997,1.11504,InterpolationSearch,12
BTree,1331898,795038,686271,2197517688,1.02605,1.48881,0.922324,1.49599,1.01798,1.50001,LinearSearch,8
DynamicPGM,4000695,3999588,3992602,1700499248,6.59338,0.286962,6.99859,0.293743,6.99241,0.293461,LinearSearch,512
DynamicPGM,3992643,3991102,3992837,1700499248,6.97858,0.584209,6.97623,0.58577,6.9836,0.587285,BinarySearch,512
DynamicPGM,4230954,4232373,4231117,1701187028,6.95523,0.527823,7.04309,0.526354,7.04581,0.530859,ExponentialSearch,256
