index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,9459145,7161916,4996389,12656662928,2.47432,2.42059,2.31065
BTree,1366866,1362938,1367212,2365596448,0.961501,0.984868,0.98191,LinearSearch,8
BTree,709134,686268,686362,2762897224,0.756601,0.767607,0.766127,InterpolationSearch,10
BTree,1370477,1364653,1364177,2513462456,1.00686,1.05075,1.05141,LinearSearch,6
DynamicPGM,3971045,3962933,3967858,1700494188,3.10111,3.15165,3.15022,BinarySearch,512
DynamicPGM,4555991,4556961,4555860,1705154448,3.2196,3.25083,3.24358,BinarySearch,64
DynamicPGM,4394606,4393603,4392519,1702518268,3.22942,3.22682,3.23491,BinarySearch,128
