index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,14587262,9335632,6907680,20628848672,298.337,297.236,297.153
BTree,1754694,1779159,1761056,2125000432,1.96554,2.00664,1.99931,LinearSearch,6
BTree,1213908,1213021,1213191,1856251088,2.01463,1.99707,2.01061,LinearSearch,8
BTree,800955,800862,800982,1600535632,1.6708,1.69391,1.66784,BinarySearch,18
DynamicPGM,5136804,4812448,4803957,1716194548,1.96409,2.11903,2.12327,BinarySearch,16
DynamicPGM,4594969,4594022,4592506,1707696288,2.07561,2.06283,2.07748,BinarySearch,32
DynamicPGM,4820700,4820473,4819804,1716194548,2.03341,2.05767,2.06528,LinearSearch,16
