index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,10377772,7488559,5179159,11825518832,115.857,292.284,292.5
BTree,1713169,1713100,1711921,2125000432,1.51684,1.57772,1.56381,LinearSearch,6
BTree,1224642,1187367,1192061,1856251088,1.5457,1.46946,1.52997,LinearSearch,8
BTree,768553,767236,767503,1601106264,1.80355,1.79672,1.79175,InterpolationSearch,16
DynamicPGM,4576537,4564958,4555568,1719163668,2.10383,2.09546,2.10335,BinarySearch,16
DynamicPGM,4581174,4581190,4581624,1719163668,2.08498,2.08981,2.08547,LinearSearch,16
DynamicPGM,3413453,3412484,3413192,1703456888,2.17838,2.17754,2.18296,BinarySearch,32
