index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,14658028,9062670,6866010,20408967088,1.24951,1.86722,1.86345
BTree,1378072,1372854,1372432,2365596448,0.966547,0.988609,0.988413,LinearSearch,8
BTree,1406084,1385517,1385857,2513462456,1.0403,1.06491,1.06731,LinearSearch,6
BTree,704172,703820,705040,2762897224,0.846411,0.848376,0.846929,LinearAVX,10
DynamicPGM,4117855,4101085,4115711,1700923408,2.9688,3.03608,3.03277,BinarySearch,256
DynamicPGM,4353330,4352066,4354926,1703724028,3.04328,3.07316,3.08435,BinarySearch,64
DynamicPGM,4224212,4225089,4225237,1701839508,3.05092,3.05471,3.05913,BinarySearch,128
