index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,9729261,7505803,5132474,11785926480,3.08856,298.53,2.8572,298.796,2.86819,297.588
BTree,936408,931417,936006,2441636976,0.648939,1.18948,0.648323,1.1749,0.657087,1.18809,InterpolationSearch,10
BTree,1320678,785302,674119,2197517688,1.03628,1.49628,0.937415,1.48204,1.03452,1.48391,LinearSearch,8
BTree,656064,658647,657414,3079164936,0.681876,1.35501,0.681316,1.36033,0.681488,1.34509,InterpolationSearch,12
DynamicPGM,2584360,2577263,2572980,1700010928,6.65291,0.624538,7.04078,0.633966,6.85647,0.633196,InterpolationSearch,256
DynamicPGM,2650375,2649865,2649509,1700049488,6.78862,0.629849,6.79242,0.630582,6.7856,0.629518,InterpolationSearch,128
DynamicPGM,2571421,2569775,2573614,1700003108,6.90884,0.643105,6.92223,0.627732,6.90957,0.63999,InterpolationSearch,512
