index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,14521804,9215976,6879975,20602887232,15.5579,15.3067,15.3669
BTree,1382970,1378034,1231168,1956120768,1.61351,1.66821,1.70282,LinearSearch,8
BTree,1057989,1052486,1054174,2197286800,1.67834,1.68254,1.68658,LinearSearch,6
BTree,502727,502628,503333,1881906544,1.41549,1.43045,1.43052,LinearAVX,10
DynamicPGM,4186195,4178638,4172823,1700920428,1.0762,1.09139,1.08065,BinarySearch,256
DynamicPGM,4463694,4463424,4465106,1703719788,1.12188,1.11987,1.13829,BinarySearch,64
DynamicPGM,4296989,4288715,4290571,1701834168,1.11364,1.11492,1.1135,BinarySearch,128
