index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,9654102,7478891,5152433,11753613200,3.25037,2.99756,3.12219
BTree,1357367,1356249,1353991,2365596448,0.962908,0.988477,0.984152,LinearSearch,8
BTree,685690,687195,685386,2762897224,0.822942,0.830369,0.825004,InterpolationSearch,10
BTree,607698,607011,608495,3159460608,0.802469,0.800972,0.800895,InterpolationSearch,12
DynamicPGM,3358270,3346759,3347435,1703241188,3.29118,3.36209,3.35515,LinearSearch,32
DynamicPGM,2617708,2618022,2618598,1700049408,3.28845,3.30634,3.28166,InterpolationSearch,128
DynamicPGM,2540905,2539982,2538608,1700011168,3.29411,3.30771,3.29646,InterpolationSearch,256
