index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,9536126,7223286,5004084,12700946864,19.4691,18.1156,18.1627
BTree,1394028,1393644,1230383,1956120768,1.35729,1.39526,1.41366,LinearSearch,8
BTree,514702,513869,514198,1881906544,0.981159,0.978265,1.00538,InterpolationSearch,10
BTree,1071884,1074341,1068889,2197286800,1.34231,1.35787,1.35459,LinearSearch,6
DynamicPGM,4036064,4089577,4025293,1700504528,0.926235,0.934306,0.929167,BinarySearch,512
DynamicPGM,4627777,4623948,4625162,1705226028,1.04549,1.04019,1.05217,BinarySearch,64
DynamicPGM,4450161,4449989,4452036,1702558388,1.01102,1.01095,1.00843,BinarySearch,128
