index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
BTree,1187862,1040100,1028346,2365596448,0.932035,0.874367,0.951301,LinearSearch,8
BTree,580655,576866,576007,2762897224,0.664598,0.678449,0.681707,InterpolationSearch,10
BTree,1087656,1046878,1062255,2513462456,0.945046,0.957209,0.871839,LinearSearch,6
DynamicPGM,5404148,4599573,4631803,1700494188,1.83497,2.17968,2.19411,BinarySearch,512
DynamicPGM,5349466,5274714,5291235,1705154448,2.32044,2.3505,2.35089,BinarySearch,64
DynamicPGM,5071970,5148428,5086172,1702518268,2.22387,2.32546,2.32694,BinarySearch,128
