index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
BTree,798815,822798,790167,2441636976,0.551605,0.867629,0.533922,0.908216,0.591467,0.957986,InterpolationSearch,10
BTree,1018496,566331,485656,2197517688,1.00666,1.34276,0.9032,1.34938,0.998397,1.3422,LinearSearch,8
BTree,573296,574192,574258,3079164936,0.721186,1.09871,0.719056,1.09412,0.674413,1.01501,InterpolationSearch,12
DynamicPGM,3231052,2860961,2853935,1700010928,5.51228,0.46663,5.81159,0.497883,5.68404,0.49107,InterpolationSearch,256
DynamicPGM,2919631,2920413,2964065,1700049488,5.77899,0.47978,5.74202,0.415953,5.76527,0.475436,InterpolationSearch,128
DynamicPGM,2814914,2815502,2816984,1700003108,5.83424,0.503882,5.82802,0.495456,5.82793,0.500858,InterpolationSearch,512
