index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
BTree,1514146,1030576,1031496,2365596448,0.808069,0.969959,0.869571,LinearSearch,8
BTree,1136481,1050179,1050098,2513462456,0.825613,0.981517,0.968471,LinearSearch,6
BTree,579649,577981,577906,2762897224,0.868443,0.86942,0.868435,LinearAVX,10
DynamicPGM,5221387,4748825,4735691,1700923408,2.37672,2.42685,2.48893,BinarySearch,256
DynamicPGM,4898921,4879826,4883640,1703724028,2.52497,2.53054,2.49111,BinarySearch,64
DynamicPGM,4794943,4776511,4769544,1701839508,2.44045,2.5379,2.53718,BinarySearch,128
