index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
BTree,1233310,1082643,978817,1956120768,1.43412,1.39854,1.58695,LinearSearch,8
BTree,833155,797961,796785,2197286800,1.44269,1.46872,1.46872,LinearSearch,6
BTree,370364,371444,372249,1881906544,1.31468,1.31668,1.31604,LinearAVX,10
DynamicPGM,5297083,4752172,4803193,1700920428,0.838376,0.853824,0.886588,BinarySearch,256
DynamicPGM,4975713,4971888,4973621,1703719788,0.908678,0.90929,0.852409,BinarySearch,64
DynamicPGM,4860960,4835940,4841763,1701834168,0.918821,0.91984,0.919674,BinarySearch,128
