index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
BTree,1033399,838305,839676,2197517688,0.894258,1.70462,1.00798,1.71616,1.00403,1.7118,LinearSearch,8
BTree,662497,661881,678032,2379181072,0.863397,1.48338,0.821919,1.19799,0.771671,1.46928,LinearSearch,6
BTree,374668,374507,369001,2441636976,0.807931,1.40216,0.808271,1.41884,0.809053,1.42016,LinearAVX,10
DynamicPGM,5022061,4585184,4580077,1700238628,4.96349,0.135199,5.16526,0.144446,5.11556,0.138899,LinearSearch,1024
DynamicPGM,4573847,4571311,4563689,1700238628,5.08332,0.484302,5.0952,0.486608,5.09694,0.486723,BinarySearch,1024
DynamicPGM,4568398,4589219,4567243,1700238628,5.07287,0.226194,5.10194,0.269232,5.09839,0.269142,InterpolationSearch,1024
