index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
BTree,792549,789902,789844,2441636976,0.56556,0.861349,0.567266,0.865961,0.562366,0.834251,InterpolationSearch,10
BTree,746984,739520,740040,3079164936,0.585708,0.876644,0.632871,0.901588,0.604848,0.873815,InterpolationSearch,12
BTree,1012780,559297,479895,2197517688,0.995301,1.35257,0.902305,1.34457,0.991153,1.34602,LinearSearch,8
DynamicPGM,5051598,4532804,4504202,1700499248,5.43866,0.227018,5.88483,0.268764,5.8771,0.278512,LinearSearch,512
DynamicPGM,4499233,4492903,4513953,1700499248,5.8834,0.483578,5.87011,0.413791,5.87851,0.429862,BinarySearch,512
DynamicPGM,4826139,4812677,4819595,1701187028,5.84467,0.475109,5.92929,0.48144,5.93673,0.401856,ExponentialSearch,256
