index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
BTree,1350486,1204489,1145697,1956120768,0.91838,0.935534,0.940882,LinearSearch,8
BTree,488906,492371,573085,1881906544,0.615316,0.614748,0.585209,InterpolationSearch,10
BTree,1060544,969018,978507,2197286800,0.830888,0.84374,0.843272,LinearSearch,6
DynamicPGM,5015268,4548164,4474835,1700504528,0.707547,0.768096,0.763397,BinarySearch,512
DynamicPGM,5190863,5203015,5174157,1705226028,0.775521,0.818156,0.829156,BinarySearch,64
DynamicPGM,4984469,4990240,4989331,1702558388,0.816671,0.795366,0.816616,BinarySearch,128
